"";"Braden_Holtby";"Devan_Dubnyk";"Henrik_Lundqvist";"Martin_Jones";"Pekka_Rinne";"Tuukka_Rask"
"1";0,875;0,826;0,941;0,95;0,962;0,839
"2";0,9;0,938;0,939;1;1;0,919
"3";0,963;0,9;0,949;1;0,957;0,739
"4";0,947;0,857;0,893;0,969;0,857;0,87
"5";0,895;0,931;0,935;0,857;0,862;0,865
"6";0,92;1;0,917;0,862;0,964;1
"7";0,917;0,933;0,971;0,941;0,92;0,969
"8";0,967;0,88;0,958;0,917;0,952;0,737
"9";0,773;0,862;0,96;0,885;0,862;0,9
"10";0,966;0,885;0,941;0,81;0,931;0,973
"11";0,92;0,875;0,967;0,941;0,857;0,9
"12";0,963;1;1;0,333;0,808;0,957
"13";0,9;0,893;0,912;0,929;0,957;0,821
"14";0,962;0,949;0,957;0,968;1;1
"15";0,889;0,917;0,929;0,862;0,95;0,929
"16";1;0,862;0,907;1;0,824;0,889
"17";0,885;0,895;1;0,974;0,852;0,944
"18";0,941;1;0,792;0,84;0,842;0,923
"19";0,941;0,893;0,882;0,926;0,917;1
"20";0,943;0,897;0,917;0,857;0,867;0,97
"21";0,944;0,968;0,973;0,962;0,875;0,963
"22";0,913;1;0,958;0,786;0,861;1
"23";0,972;1;0,92;0,8;0,87;0,938
"24";0,978;0,913;0,848;0,966;0,972;0,931
"25";0,963;0,923;0,9;0,963;0,88;0,905
"26";0,75;0,875;0,871;0,871;0,905;0,906
"27";0,917;0,906;0,886;0,875;0,939;0,833
"28";0,967;0,966;0,792;0,917;0,909;0,897
"29";1;0,971;0,895;0,8;0,972;0,95
"30";0,926;0,933;0,857;0,895;0,87;0,933
"31";0,862;0,931;0,909;0,85;0,897;0,857
"32";0,926;0,935;0,85;0,92;0,844;0,931
"33";0,971;0,889;0,913;1;0,964;0,974
"34";0,885;0,971;0,871;0,886;0,824;0,885
"35";0,967;0,87;0,97;0,96;0,846;0,944
"36";0,813;0,962;0,935;0,914;0,87;0,864
"37";0,909;0,917;0,944;0,958;0,792;0,886
"38";0,914;0,923;0,9;0,893;0,885;0,929
"39";0,875;0,958;0,968;0,906;0,963;0,974
"40";0,923;0,833;0,938;0,955;0,958;0,844
"41";0,917;0,897;0,885;0,88;0,966;0,944
"42";0,943;0,833;0,88;0,963;0,957;0,792
"43";0,885;0,906;0,889;0,828;0,684;0,966
"44";0,917;0,923;0,929;1;0,933;0,917
"45";0,84;0,893;0,964;0,957;0,818;0,897
"46";0,909;0,969;1;0,933;0,857;0,976
"47";0,875;0,9;0,955;0,95;1;0,975
"48";0,926;0,903;0,789;0,889;0,933;0,867
"49";0,833;0,944;1;0,893;0,966;0,96
"50";0,938;0,909;0,886;0,927;0,974;0,926
"51";0,87;0,955;0,972;0,905;1;0,933
"52";0,933;0,938;0,947;0,958;0,921;0,922
"53";0,87;0,813;0,864;0,913;0,848;0,893
"54";0,964;0,968;0,93;0,933;0,944;0,962
"55";0,867;0,85;0,875;0,979;0,913;0,889
"56";0,962;0,625;0,892;0,867;0,889;0,9
"57";0,952;0,939;0,915;0,92;0,933;0,75
"58";0,808;0,935;0,926;0,905;0,909;0,914
"59";0,933;0,974;0,951;0,962;0,933;0,962
"60";1;0,939;0,906;0,958;0,92;0,867
"61";0,955;1;0,857;0,813;0,947;0,833
"62";0,971;0,947;0,667;0,938;0,7;0,818
"63";0,895;0,864;0,931;0,88;0,87;0,964
"64";0,852;0,897;0,951;0,808;0,862;0,867
"65";0,886;0,879;0,813;1;0,893;0,903
"66";0,95;0,85;0,909;0,875;0,889;0,971
"67";1;1;0,935;0,963;0,931;0,966
"68";0,976;0,903;0,933;0,917;0,931;1
"69";0,969;0,929;0,778;0,929;0,857;0,971
"70";0,92;0,824;0,739;0,864;0,84;0,9
"71";0,9;0,864;0,893;0,935;0,871;0,792
"72";1;0,902;0,833;0,949;0,963;1
"73";0,933;0,792;0,889;0,84;0,973;0,882
"74";0,943;0,903;0,929;0,911;0,917;0,969
"75";0,87;0,824;0,931;0,96;0,917;1
"76";0,909;0,939;0,931;0,875;0,963;0,966
"77";0,968;0,938;0,857;1;0,936;0,917
"78";0,905;1;1;0,913;0,852;0,889
"79";0,933;1;0,875;1;0,833;0,885
"80";0,955;1;0,923;1;0,808;0,968
"81";0,929;0,917;0,667;0,789;0,917;0,905
"82";0,88;0,969;0,972;0,857;0,946;0,972
"83";0,862;0,951;0,947;0,923;0,905;0,9
"84";0,955;0,917;0,87;0,927;0,765;0,8
"85";0,956;0,963;0,933;0,933;0,933;0,842
"86";0,889;1;0,765;0,952;0,885;0,968
"87";0,917;0,919;0,952;0,85;0,966;0,892
"88";0,909;0,938;0,929;0,957;0,929;1
"89";0,941;0,944;0,882;0,923;0,92;0,769
"90";0,962;0,921;0,929;0,955;0,971;0,967
"91";1;0,935;0,875;0,929;0,958;0,818
"92";0,87;0,966;1;0,815;1;0,939
"93";0,857;0,946;0,969;0,85;0,968;0,963
"94";0,892;0,926;0,935;0,906;0,912;0,92
"95";0,893;0,957;0,692;0,95;0,96;0,84
"96";0,97;0,967;0,926;0,96;0,943;1
"97";0,939;0,944;0,789;0,964;0,957;0,824
"98";0,912;1;0,938;0,9;0,925;1
"99";1;0,941;0,892;0,864;0,773;0,875
"100";0,929;0,933;0,852;0,571;0,893;0,8
